tensor([[123.6640]], device='cuda:0')
tensor([[212.5497]], device='cuda:0')
tensor([[84.9295]], device='cuda:0')
tensor([[84.9295]], device='cuda:0')
tensor([[84.9295]], device='cuda:0')
tensor([[84.9900]], device='cuda:0')
tensor([[84.9295]], device='cuda:0')
tensor([[416.6304]], device='cuda:0')
tensor([[149.6834]], device='cuda:0')
tensor([[115.3624]], device='cuda:0')
tensor([[110.0822]], device='cuda:0')
tensor([[100.6019]], device='cuda:0')
tensor([[102.9506]], device='cuda:0')
tensor([[92.3220]], device='cuda:0')
tensor([[90.5713]], device='cuda:0')
tensor([[87.9532]], device='cuda:0')
tensor([[97.6494]], device='cuda:0')
tensor([[95.8644]], device='cuda:0')
tensor([[90.2401]], device='cuda:0')
tensor([[99.9261]], device='cuda:0')
tensor([[87.9859]], device='cuda:0')
tensor([[98.6710]], device='cuda:0')
tensor([[103.9197]], device='cuda:0')
tensor([[106.5545]], device='cuda:0')
tensor([[98.6643]], device='cuda:0')
tensor([[103.4509]], device='cuda:0')
tensor([[92.4030]], device='cuda:0')
tensor([[95.0434]], device='cuda:0')
tensor([[95.8760]], device='cuda:0')
tensor([[104.4658]], device='cuda:0')
tensor([[98.6681]], device='cuda:0')
tensor([[98.6590]], device='cuda:0')
tensor([[87.9744]], device='cuda:0')
tensor([[93.2189]], device='cuda:0')
tensor([[105.3493]], device='cuda:0')
tensor([[87.9728]], device='cuda:0')
tensor([[92.4018]], device='cuda:0')
tensor([[87.9714]], device='cuda:0')
tensor([[92.3888]], device='cuda:0')
tensor([[98.6407]], device='cuda:0')
tensor([[87.9623]], device='cuda:0')
tensor([[87.9655]], device='cuda:0')
tensor([[103.0769]], device='cuda:0')
tensor([[93.7382]], device='cuda:0')
tensor([[98.6228]], device='cuda:0')
tensor([[93.1982]], device='cuda:0')
tensor([[103.0695]], device='cuda:0')
tensor([[98.6312]], device='cuda:0')
tensor([[93.1998]], device='cuda:0')
tensor([[98.6343]], device='cuda:0')
tensor([[103.0412]], device='cuda:0')
tensor([[92.3264]], device='cuda:0')
tensor([[111.6799]], device='cuda:0')
tensor([[442.2403]], device='cuda:0')
tensor([[484.5102]], device='cuda:0')
tensor([[158.8465]], device='cuda:0')
tensor([[399.9062]], device='cuda:0')
tensor([[462.1913]], device='cuda:0')
tensor([[495.9513]], device='cuda:0')
tensor([[509.5936]], device='cuda:0')
